GEOID,population_18_up,degree_18_up,attainment_rate
01001,41527,9614,.23151202
01003,158361,45352,.28638363
01005,20687,2289,.1106492
01007,17852,2136,.11965046
01009,44102,5313,.12047072
01011,8312,1000,.12030799
01013,15556,2279,.14650296
01015,90097,14806,.164334
01017,26639,3255,.12218927
01019,20647,2463,.11929094
01021,33255,4602,.13838521
01023,10482,1113,.10618202
01025,19111,2242,.11731464
01027,10550,991,.093933649
01029,11481,1321,.11505967
01031,38954,8228,.2112235
01033,42727,7357,.17218621
01035,9875,791,.080101267
01037,9050,905,.1
01039,29261,4177,.14274974
01041,10732,1575,.14675736
01043,63346,8782,.13863543
01045,37785,5889,.15585549
01047,30677,3922,.12784822
01049,53650,6359,.11852749
01051,62714,13155,.20976177
01053,29239,3228,.11040049
01055,80592,12538,.15557376
01057,13059,1754,.13431349
01059,23735,2869,.12087634
01061,20673,2146,.1038069
01063,6534,664,.10162228
01065,11505,1483,.12890048
01067,13529,2112,.15610909
01069,79562,15367,.19314496
01071,41033,5019,.12231618
01073,507281,149752,.29520524
01075,10933,1360,.12439404
01077,73838,14866,.20133264
01079,26046,2610,.10020733
01081,122758,35497,.28916243
01083,70441,16077,.22823356
01085,7984,988,.1237475
01087,15866,2594,.16349426
01089,274312,100946,.36799702
01091,15209,2113,.1389309
01093,23707,2915,.12295946
01095,71189,11612,.16311508
01097,315461,66241,.20998158
01099,16674,2003,.12012714
01101,173169,50151,.28960726
01103,91694,17496,.19080856
01105,7529,1000,.13281976
01107,15984,1732,.10835836
01109,26733,5437,.20338158
01111,17587,2385,.13561153
01113,43872,6724,.15326405
01115,66877,9929,.14846659
01117,158225,61456,.3884089
01119,10505,1552,.14773917
01121,63211,7879,.12464603
01123,32081,5314,.16564322
01125,161480,40439,.25042731
01127,50467,5131,.1016704
01129,12924,1247,.096487157
01131,8218,893,.10866391
01133,18943,2287,.12073062
02013,2892,317,.10961273
02016,4801,732,.15246823
02020,224364,69095,.30795938
02050,11554,1247,.10792799
02060,708,133,.18785311
02068,1978,727,.36754298
02070,3430,520,.15160351
02090,75878,21539,.28386357
02100,2037,650,.31909671
02105,1796,361,.20100223
02110,25339,9240,.36465529
02122,44643,9917,.22214009
02130,10677,2378,.22272174
02150,10156,2184,.21504529
02158,4900,196,.039999999
02164,936,135,.14423077
02170,73576,13519,.18374199
02180,6467,770,.11906603
02185,7262,1024,.14100799
02188,5021,465,.092611037
02195,2537,586,.23098147
02198,4936,768,.15559158
02220,6833,2108,.30850285
02230,902,274,.30376941
02240,5027,901,.17923215
02261,7211,2120,.29399529
02275,1994,373,.18706119
02282,533,95,.1782364
02290,3931,436,.11091325
04001,51262,5071,.098923177
04003,98458,21175,.21506633
04005,108845,30779,.28277826
04007,42321,7470,.17650811
04009,27362,3363,.12290768
04011,6729,707,.10506762
04012,17079,1758,.10293343
04013,3124636,893996,.28611204
04015,167395,19394,.11585771
04017,78089,10640,.13625479
04019,788941,220470,.27945057
04021,308673,52197,.16910128
04023,33397,6672,.19977842
04025,183023,42753,.2335936
04027,151310,18855,.12461173
05001,14168,1838,.12972897
05003,15952,1954,.12249248
05005,33870,5867,.17322114
05007,183866,53651,.29179403
05009,28737,4344,.15116401
05011,8392,1097,.13071974
05013,4187,498,.11893958
05015,21587,3830,.1774216
05017,8557,1024,.11966811
05019,18182,3886,.21372786
05021,11833,1169,.098791517
05023,20475,3071,.14998779
05025,6427,998,.15528241
05027,18904,3493,.18477571
05029,16117,2386,.14804244
05031,78359,18968,.24206537
05033,46604,6227,.13361514
05035,35632,5452,.15300854
05037,13012,1624,.12480787
05039,5844,778,.13312799
05041,8982,1039,.1156758
05043,14523,2255,.15527095
05045,92709,23918,.25799006
05047,13651,1375,.10072522
05049,9637,1080,.11206807
05051,77950,14580,.18704298
05053,13884,2406,.17329299
05055,33446,5036,.15057106
05057,16381,1990,.12148221
05059,26460,3442,.13008314
05061,9977,1392,.1395209
05063,28257,4692,.16604735
05065,11086,1311,.11825726
05067,13903,1230,.088470116
05069,55122,8325,.15102863
05071,19748,2853,.14447032
05073,5656,762,.13472418
05075,13048,1784,.13672593
05077,7763,579,.074584566
05079,11415,832,.072886556
05081,9701,935,.096381813
05083,16908,1890,.1117814
05085,52726,9897,.18770626
05087,12160,1279,.10518092
05089,13449,2031,.15101494
05091,33275,4789,.14392187
05093,31923,3546,.11107978
05095,5867,497,.084711097
05097,7323,835,.1140243
05099,6592,997,.15124393
05101,6324,909,.14373814
